username,target
@onelilsZ,@PressTV
@Dejene_Eebba,@RusEmbEthiopia
@Pakistanorhum,@LadyVelvet_HFQ
@TurbineJetRC,@cjwerleman
@Ramy_Sawma,@AlanRMacLeod
@Ramy_Sawma,@AlanRMacLeod
@onelilsZ,@RT_com
@onelilsZ,@RT_com
@TurbineJetRC,@Liberty5380
@onelilsZ,@ASBMilitary
@bobokipara,@alfonslopeztena
@govindenviro,@StopRacisim
@onelilsZ,@ASBMilitary
@onelilsZ,@ASBMilitary
@PoopyVii,@AskASwiss
@taurufam,@Endarlyana
@ElCritiq,@UN
@FetsiNtate,@SAfmnews
@Ishmourda254,@Russia
@samarmoh1177,@EmadHajjaj
@hannamendesil,@FR_Desarmement
@abhinavrajkumar,"@AOC,,@KremlinRussia_E,@abdulla_shahid"
@rhj1910,@PSFAERO
@PrescientTrade,@PrescientTrade
@rhj1910,@GeorgeSzamuely
@PrescientTrade,@PrescientTrade
@abhinavrajkumar,@BorisJohnson
@Dr_NKhan,@KellyCobiella
@jeana5487,@YouTube
@_guillherne_,@Daniloxis
@a4awaisqarni,@HadiNasrallah
@matthewok15,@ajamubaraka
@MOSEMBEHESBON,@UKRinKEN
@thethiagor,@gugachacra
@SajjadAMallick,@cnni
@sir_isiac,@FHeisbourg
@Afgyaam,@worldonalert
@shannra666,@stephanpalagan
@Fomoko3,@atubsaan
@OumaFlo,@kilundeezy
@matthewok15,@ajamubaraka
@drimranqamar,@AlanRMacLeod
@Fomoko3,@thitruth
@matthewok15,@MickBarryTD
@SanRoeken,@BijanCNN
@MarwaEl94317678,@ajplus
@Ruuu_Dra,@freedomhouse
@r00t_me,@EmmanuelMacron
@sbala13,@ANI
@Patriot_em,@DanSuperdan2
@32etr02,@ekrem_imamoglu
@ItsMayakah,@ANI
@Essha_PTI,@MailOnline
@sidizzy,@AlanRMacLeod
@RaviHarrow,@jukaukor
@Lokendaryadav69,@KyivIndependent
@BoruMeti,@BBCAfrica
@sol_macky,@Olivier_Truchot
@Aliyah00001,@TheLegateIN
@Aliyah00001,@Khushter15
@MewingTiger,@RShivshankar
@Sirna_Oromo,@AJEnglish
@Ishmourda254,@ijaydenx
@sugar__froggie,@washingtonpost
@menon_shobhith,@Ukraine
@SilenceIsGolddd,@_AfricanUnion
@ItsMayakah,@abukenya21_Ug
@KenyanTraffic,@rkbett1
@HannahMayo55,@Jerusalem_Post
@iiiamOJ,@piersmorgan
@g1pandey1,@AJEnglish
@naima_c_786,@Analystdaily
@ReubenNkem121,@GazetteNGR
@mojtabaaltarazi,"@KellyCobiella,,@NBCNews,@UNHumanRights"
@DhenwalShubham,@Rasspad22
@Danya14712497,@FoxNews
@Danya14712497,@Reuters
@muserabdi,@USAmbKenya
@Bichettt,@_Makada_
@ishaan_2711,@Ukraine
@rayklanderman,@ItsMutai
@ansari0294,@Ukraine
@sugar__froggie,@Dtheuntouchable
@Shane41643395,@rannnda
@eriknjoka,@ItsMutai
@Shane41643395,@JackPosobiec
@Ishmourda254,@patemejuru
@Ishmourda254,@AurangZK
@Ishmourda254,@LindaResista
@Ishmourda254,@ijaydenx
@Ishmourda254,@jogarcia618
@sirabbe,@JMNkugwa
@Ishmourda254,@Charlotte116444
@Ishmourda254,@VinayDokania
@Ishmourda254,@Luckyleg88
@Ishmourda254,@Bluebor416
@Ishmourda254,@TeofimoLopez
@Ishmourda254,@MilanCHE111
@Ishmourda254,@IAPonomarenkoo
@rhj1910,@UN
@salimwarren_1,@OtienoEugene_O
@FariiFerrarii,@Brayson53233089:
@YunusAlamgeer,@Reuters
@YunusAlamgeer,@Reuters
@YunusAlamgeer,@Reuters
@KenyanMarketer1,@SPRUCING
@Alhaaji01,@AsstSecStateAF
@jackbit_njagi,@jackbit_njagi's
@jackbit_njagi,@jackbit_njagi's
@jackbit_njagi,@jackbit_njagi's
@bill99540642,@amazonmusic
@KholtiSamira,@Decimaitre
@vela_kt,@WIONews
@S_t_e_ve_,@ItsMutai
@S_t_e_ve_,@ItsMutai
@jackbit_njagi,@jackbit_njagi's
@vincy_king,@YouTube
@teukufarhan,@JohnnaCrider1
@jackbit_njagi,@jackbit_njagi's
@vela_kt,@WIONews
@Cracker42Joseph,@StompTheGOP
@anjs1551,@NikkiHaley
@ThomasZGeneral,@TiffanyHaddish
@LavalFrom,@ConstanceJackso
@kamirimoses,@MakauWaMuli
@7abibyHussein,@ala0ml
@7abibyHussein,@allouush
@Deadwaffle96,@brightize13The
@emai_ke,@AlanRMacLeod
@Cleophasmose4,@ItsMutai
@RationalCupid,@Montanaidk
@Eagleadvocates,@TheEconomist
@AlexRedwedge,@visegrad24
@Charlot16482069,@guardian
@BoruMeti,@AsstSecStateAF
@jackbit_njagi,@jackbit_njagi's
@jackbit_njagi,@jackbit_njagi's
@jackbit_njagi,@jackbit_njagi's
